IDX,nomeCliente,composition,color,size,certification,brand,designLenght,sport,knittingType
39,JLION CLOTHING SL,47% Polyamide; 46% Multifilament Polyamide; 5% Elastane; 2% Silicone,Black,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Cycling,Flat Knit
40,JLION CLOTHING SL,47% Polyamide; 46% Multifilament Polyamide; 5% Elastane; 2% Silicone,Black,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Cycling,Flat Knit
41,JLION CLOTHING SL,48% Econyl; 47% Polyamide; 5% Elastane,Black,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Cycling,Flat Knit
42,JLION CLOTHING SL,48% Econyl; 47% Polyamide; 5% Elastane,Black,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Cycling,Flat Knit
43,Gococo AB,,Black,S,Conventional,n/a,Crew/Mid Calf,Equestrianism,Flat Knit
44,Gococo AB,,Black,M,Conventional,n/a,Crew/Mid Calf,Equestrianism,Flat Knit
45,Gococo AB,,Black,L,Conventional,n/a,Crew/Mid Calf,Equestrianism,Flat Knit
46,Gococo AB,,Black,S,Conventional,n/a,Crew/Mid Calf,Equestrianism,Flat Knit
47,Gococo AB,,Black,M,Conventional,n/a,Crew/Mid Calf,Equestrianism,Flat Knit
48,Gococo AB,,Black,L,Conventional,n/a,Crew/Mid Calf,Equestrianism,Flat Knit
49,VAUDE Sport GmbH & Co. KG,,White,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
50,VAUDE Sport GmbH & Co. KG,,Black,39-41,Conventional,Vaude,Invisible,Cycling,Flat Knit
51,INCYLENCE oHG,73% Recycled Polyamide; 23% Polyamide; 4% Elastane,Rainbow,43-46,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
52,INCYLENCE oHG,73% Recycled Polyamide; 23% Polyamide; 4% Elastane,White/Red,43-46,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
53,INCYLENCE oHG,71% Recycled Polyamide; 25% Polyamide; 4% Elastane,White/Purple,43-46,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
54,Orange Sport,,Navy/Pink,43-47,Conventional,Orange Sport,Crew/Mid Calf,Basic,Flat Knit
55,Select Sport A/S,,White/Red,28-31,Conventional,Select Sport,Crew/Mid Calf,Football,Selected Terry
56,Select Sport A/S,,White/Red,32-35,Conventional,Select Sport,Crew/Mid Calf,Football,Selected Terry
57,Select Sport A/S,,White/Red,36-40,Conventional,Select Sport,Crew/Mid Calf,Football,Selected Terry
58,Select Sport A/S,,White/Red,41-45,Conventional,Select Sport,Crew/Mid Calf,Football,Selected Terry
59,Fingerscrossed GmbH,,Black,35-38,Conventional,Fingerscrossed,Crew/Mid Calf,Multisports,Flat Knit
60,Fingerscrossed GmbH,,Black,43-46,Conventional,Fingerscrossed,Crew/Mid Calf,Multisports,Flat Knit
61,Fingerscrossed GmbH,,White,35-38,Conventional,Fingerscrossed,Crew/Mid Calf,Multisports,Flat Knit
62,Fingerscrossed GmbH,,White,43-46,Conventional,Fingerscrossed,Crew/Mid Calf,Multisports,Flat Knit
63,INCYLENCE oHG,55% Recycled Polyamide; 41% Polyamide; 4% Elastane,White,43-46,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
64,INCYLENCE oHG,55% Recycled Polyamide; 41% Polyamide; 4% Elastane,Blue,43-46,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
65,INCYLENCE oHG,66% Recycled Polyamide; 31% Polyamide; 3% Elastane,Neon Yellow,43-46,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
66,INCYLENCE oHG,66% Recycled Polyamide; 31% Polyamide; 3% Elastane,Lilac,43-46,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
67,Kirpte UAB,62% Multifilament Polyamide; 31% Polyamide; 7% Elastane,Black,XL,Conventional,N/A,N/A,Multisports,Flat Knit
68,Kirpte UAB,62% Multifilament Polyamide; 31% Polyamide; 7% Elastane,Black,L,Conventional,N/A,N/A,Multisports,Flat Knit
69,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Grey/Neon Orange,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
70,JLION CLOTHING SL,,Black/Pink,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
71,JLION CLOTHING SL,,Bitter Lemon/Blue,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
72,JLION CLOTHING SL,,Pink/Beige,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
73,JLION CLOTHING SL,,White/Black,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
74,Boards&More GmbH,,Black,M/39-42,Conventional,ION BIKE,Crew/Mid Calf,Cycling,Flat Knit
75,Boards&More GmbH,,Black,M/39-42,Conventional,ION BIKE,Crew/Mid Calf,Cycling,Flat Knit
76,Fingerscrossed GmbH,96% Polyamide; 2% Elastane; 2% Polypropylene,White,35-38,Conventional,Fingerscrossed,Crew/Mid Calf,Multisports,Flat Knit
77,Fingerscrossed GmbH,96% Polyamide; 2% Elastane; 2% Polypropylene,White,43-46,Conventional,Fingerscrossed,Crew/Mid Calf,Multisports,Flat Knit
78,Fingerscrossed GmbH,,Black,35-38,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
79,Fingerscrossed GmbH,,Black,43-46,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
80,Fingerscrossed GmbH,,Red,35-38,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
81,Fingerscrossed GmbH,,Red,43-46,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
