IDX,nomeCliente,composition,color,size,certification,brand,designLenght,sport,knittingType
677,Sidas,44% Recycled Polyamide; 41% Organic Merino Wool; 10% Polyamide; 3% Recycled Elastane; 2% Elastane,Bege,37-38,Conventional,Sidas,Knee High,Ski,Selected Terry
678,Lipati ApS,,White,38-39,Conventional,n/a,Crew/Mid Calf,Multisports,Selected Terry
679,Lipati ApS,,White,42-44,Conventional,n/a,Crew/Mid Calf,Multisports,Selected Terry
680,Sidas,44% Recycled Polyamide; 41% Organic Merino Wool; 10% Polyamide; 3% Recycled Elastane; 2% Elastane,Storm Grey,42-44,Conventional,Sidas,Knee High,Ski,Selected Terry
681,Compressport International SA,55% Polyamide; 20% Polyester; 14% Multifilament Polyamide; 11% Elastane,Black/White,T1/35-38,Conventional,N/A,Crew/Mid Calf,Multisports,Flat Knit
682,Compressport International SA,55% Polyamide; 20% Polyester; 14% Multifilament Polyamide; 11% Elastane,Black/White,T2/39-41,Conventional,N/A,Crew/Mid Calf,Multisports,Flat Knit
683,Compressport International SA,55% Polyamide; 20% Polyester; 14% Multifilament Polyamide; 11% Elastane,Black/White,T3/42-44,Conventional,N/A,Crew/Mid Calf,Multisports,Flat Knit
684,Compressport International SA,55% Polyamide; 20% Polyester; 14% Multifilament Polyamide; 11% Elastane,Black/White,T4/45-48,Conventional,N/A,Crew/Mid Calf,Multisports,Flat Knit
685,WaterNlife ApS,87% Recycled Polyamide; 8% Polyamide; 5% Elastane,Blue/Orange,43-47,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
686,Ecco Accessories Ltd,70% Polyamide; 13% Cotton; 13% Polyester; 4% Elastane,Limestone,42-44,Conventional,Ecco,Crew/Mid Calf,Hiking/Trekking,Half Terry
687,Ecco Accessories Ltd,70% Polyamide; 13% Cotton; 13% Polyester; 4% Elastane,Limestone,42-44,Conventional,Ecco,Ankle/Quarter,Hiking/Trekking,Half Terry
